This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)  total commits  my commits  LOC added by me  LOC deleted by me
         \                \                \           \_____________  \
          \                \                \______________________  \  \
           \                \___________________________________   \  \  \
____________\___________________________________________________\___\__\__\_______
2891dc3622a63a1b56124dca4832369c9e3a373a5c4b71a66ad5f74b6cbf73a1 0 0 0 0
74b93e636351554eea491a86ff6cd202b5ee1febc717d6f8bc8c94e1e619e810 1 1 24 0
b02c7b223f69bb41a1013b00a1551b85bf66c92199e7c1c1109f0c6841bc8321 54 54 4531 0
7a954d75796a96c5dbc6a0da9d4231a419c7ff791ef2072e9b99a40539e5a606 6 6 1217 0
c9b137a4045b8f5e675b049ba5c3f672727043d8f3719aff7994471dba19c220 1509 17 977 109
15cd263131f9becd6e5ae9b5c9e0dbcd5ee1a74e788c1f0b7eb2e10ee46c161c 2 2 1383 0
baa156f4bab133bc0045c641ae4c17afd6e9346b8d2ba0fb5c31d4d1403c04fe 1 1 23523 0
99d8bc28ea11f940824c3b8b500fe30395aa55fdc31efdfd49996872139d3c68 4 4 1593310 628
bcefb4fd89ac686e70b1ac2431b64e8ea03be31c999d6b6a9b6ff62c1544dc4d 2 2 1913 0
7d776c9efaf4de383d0444a8d99ce4edf6e99e1b8ecda6ab328b1adfc7f0172f 2 2 25613 143
96e39729a607361bde01532b61b72312061f57b60aafee2565e8d9d718870e88 1 1 44290 0
afa89d831534de78e15f994891800670ebb3c3b65adcb6c7491ccbd5fa1170ad 2 2 2 0
10150fc24cacf25f663ec2de0e4790ad79d0c3ca8819f6ad15e7af260e5c63b9 4 4 23861 0
00498ef902cdead1df0c62dc9f844d887e6bb3d0c2fb8a9f83af3ce750cd6ea2 2 2 38 0
0c04b81477ebcd942eac6507cd9722fc15eb0e6b545cadb8978ec997e1794c01 8 8 149212 2719
465368b9f6521985b53503aeaaf48f415d5f7b2e4b4b6d820ff4fa5c6843d0dd 4 4 525946 71201
5c7b2ed3ba83a5e65ac85b6c1c1ad2a3cf98a5fab439b00e749500ac6652a8b8 10 10 338953 22276
ed9367d6f7ad15c4aef8f0f022afdd89639de01d2b0b4c4cb300bb71de4ad510 3 3 3254 0
dbe99dd4c0563e8adb594d6de0642083712955d84ea96b22cbf403ec3a21e3ed 171 52 19139 3192
a7f07b8217dca929b90ef4478e1d614f43815e2513b993ab9db81c3a7c98c1da 54 25 71818 857
04209b68de3daa17c07e0cc5eb886f023ebb5852b592384c0c53c99406908447 4 4 3173 447
9649676ddebbbf7889caa05354ec3d903e1a937ab31406e15da22f9888cfef2a 23 23 7869 628
649872f88c70802a468ad1d68ae988da671ba4b15fbff5e16d7b8a2088da7e95 78 78 14773 1321
0181fbc87ffdfbfefebf2f4d2858031a504fdfacffaefed2bd245643f2f74be6 18 18 10626 480
a3aa999e62ca8f19a43cf8e9da499a4262e0bd07e2b3970e5ee441f1e9712ce4 1554 56 1466 766
037a3eddac96c1f6ab3712152edffa032ca8607e38d15950edc3922d1dfc80b9 1 1 96 0
81041dcdbb8ac7f4a77ee635176d37d4850ecd0eb621cfb8a3296585408661a7 5 5 236 46
2e0186154a46e7abd1bfb943c68211c33cd81ca5c094252d069e168cabaecbfc 2369 0 0 0
ab1d59be0ea9faaa62f1481cbf433ecc21d31f97733238ce30a9e1604a5bfa0e 1 1 396 0
2c4a42ed49bfa267b5c2d8d3551d8ed991a8c6137e82bfb17cc6d6349f6110a9 5 5 1239 90
f6b3dfc83741890eea268a2478bb894a50d1770275c055374aebf5392d35def4 35 27 2300 156
ec92bb1c478140e12f37525044a77f83bf7f5f1740bab90cd2642ed27dc67793 4 4 1011 1
6dbbf780f28d02640ce01dec082ce42c8e2601ba5142c4b056d8eebbc940add4 1 1 1 0
bd6a1ef156dacc2e29bd8b738862d7804d848e46238bcf7121786950a3c2c357 42 42 11349 3047
452a3fb0bc6706a6e5423b2f738e2e7e900cbb4aba14ecda3e8d00573b350804 8 8 203 1
ed87f9929d47c18747514a9684952496b4a6cc35f10867ba9b00571300aa4160 1 1 1 0
482e2db8096ed0fa919789c85dd85da7e83f190e4e27f0f3315bea10ccca6578 32 32 7949 1331
3db7a76c96f49b532fd24ab43f37bea98d801b0d1d39da5e6b2fc27475bf1bf1 5 5 2141 13
d0ecde7da0c3902d2988f59a05c074249a3642e67ca11684775ff1aab55a6529 27 27 573812 292
8ac6124c5747ba32b4b7e641c92918461eb3cb73e32dd51d7a5e9d02e8205c80 89 89 592700 1039
